Stanowisko,Obecny,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10
ST.E-01,1,,,1,1,1,1,1,1,,
ST.E-02,1,1,,,,,1,1,1,1,1
ST.E-03,1,1,,1,1,1,1,1,,,
ST.E-04,1,1,,,1,1,1,1,1,,
ST.E-05,1,1,,,1,1,1,1,1,1,
ST.E-06,1,1,,,,1,1,1,1,1,1
ST.E-07,1,1,,1,,1,1,1,1,1,
ST.E-08,1,1,,,1,1,1,1,1,1,
ST.E-09,1,1,,,,1,1,1,1,1,1
ST.E-10,1,1,1,1,1,1,1,1,,,
ST.E-11,1,,,1,1,1,1,1,,,
ST.E-12,1,1,,1,1,1,1,1,,,
ST.E-13,1,1,,,1,1,1,1,1,1,
ST.E-14,1,1,,1,1,1,1,1,1,,
ST.E-15,1,,1,1,1,,,,,,
ST.E-16,1,,1,1,1,1,1,1,,,
ST.E-17,1,1,,,,1,1,1,1,1,
ST.E-18,1,,1,1,1,1,,,,,
ST.E-19,1,,1,1,1,1,,,,,
ST.E-20,1,,1,1,1,1,,,,,
ST.E-21,1,,1,1,1,1,1,,,,
ST.E-22,1,,1,1,1,1,1,,,,
ST.E-23,1,1,1,1,1,1,1,,,,
ST.E-24,1,,1,1,1,1,,,,,
ST.E-25,1,,1,1,1,,,,,,
ST.E-26,1,,1,1,1,1,,,,,
ST.E-27,1,1,1,1,1,1,,,,,
ST.E-28,1,,1,1,1,1,,,,,
ST.E-29,1,,1,1,1,,,,,,
ST.E-30,1,,1,1,1,,,,,,
ST.E-31,1,,1,1,1,1,1,,,,
ST.E-32,1,,1,1,1,,,,,,
ST.E-33,1,,,,,,,,,,
ST.E-34,1,,,,,,,,,,
ST.E-35,1,1,1,1,1,1,,,,,